"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000174992",6066.76158523875,-8.95972731118759,0.440684749646096,8.34798070909507e-95,1.57417872231406e-90
"ENSG00000182271",1010.54700599807,-9.24823208831784,0.501728462696201,7.30820187839355e-79,6.89053814104336e-75
"ENSG00000071203",2930.77430698927,-8.91372938449664,0.536564814918565,7.11959327706773e-65,4.47513901418887e-61
"ENSG00000016602",5412.61399204283,-9.10593428105072,0.579758548449028,1.4964990604441e-58,7.0548706956986e-55
"ENSG00000167434",1315.33650051551,-7.93204760618595,0.536310619606738,5.89116569124523e-52,2.22179422879623e-48
"ENSG00000196616",1748.28077750799,-5.26417425119127,0.354945066590694,7.77413381306334e-51,2.44328068854892e-47
"ENSG00000133742",5548.91750613586,-9.19024124911757,0.645920675348134,6.29358270929551e-49,1.69540127355979e-45
"ENSG00000250722",3985.93956297454,-4.72500794671193,0.347683461594769,4.66428774936921e-43,1.09943092612319e-39
"ENSG00000204936",3970.25694111034,-8.23976207868427,0.65919305222317,1.7704459553477e-38,3.70947770888796e-35
"ENSG00000101187",610.778182771312,3.85257469834159,0.303618671372561,5.01294219425945e-38,9.45290509571504e-35
"ENSG00000091138",13670.557383843,-7.37106936117474,0.596753762038462,3.42865879527696e-37,5.87765626386705e-34
"ENSG00000007306",16172.6891871495,-7.33266904002557,0.629811941042292,1.88556970989411e-33,2.96301566828944e-30
"ENSG00000015413",3677.03955924501,6.96599005327675,0.598321475442714,3.13286008567669e-33,4.54433404889271e-30
"ENSG00000240498",373.542319258922,-7.83059290100656,0.684675673937081,1.05387746686862e-32,1.40931450568676e-29
"ENSG00000112936",477.156568839896,-4.07263668079605,0.348207728242217,1.12105412235782e-32,1.40931450568676e-29
"ENSG00000168079",601.596550463554,-5.60089442744856,0.484375504327282,3.93312556548291e-32,4.63543429926945e-29
"ENSG00000148180",5093.63499958088,-2.44326270479526,0.216248960219757,2.96351157106978e-31,3.28723162915663e-28
"ENSG00000168748",640.244734099826,-7.87655718832244,0.710200058737504,5.04399794319062e-31,5.28414828970809e-28
"ENSG00000108187",1089.40369116435,-3.59105314185692,0.31746072599412,6.17358552398557e-31,6.12712116977873e-28
"ENSG00000187783",162.099351455961,-6.6412452827994,0.595076408094709,1.22558854548225e-30,1.15554616010794e-27
"ENSG00000122641",346.110371765721,6.33739495210228,0.568141036871366,1.92437550444052e-30,1.7279975660588e-27
"ENSG00000100604",1158.44443915547,-8.05934396857932,0.747478371449965,1.20313082922349e-29,1.03124718393943e-26
"ENSG00000136826",1984.34656446191,-3.66716548141485,0.339987191056969,2.29756362919633e-28,1.88370249372849e-25
"ENSG00000119121",831.056972394197,-6.40660084558622,0.599196430192154,2.85110798690237e-28,2.24013930454241e-25
"ENSG00000104435",126.238500674488,-4.81005820044059,0.450929255050614,1.3454741670251e-27,1.01486425470369e-24
"ENSG00000248144",3428.63506488577,-5.13892133804725,0.485976183699144,3.22315979419962e-27,2.33765862458547e-24
"ENSG00000197165",101.081007384274,-4.51930989569847,0.434773926511165,2.43875685939572e-26,1.70324585546759e-23
"ENSG00000153823",563.284216919797,-2.44543189103248,0.239140391563781,3.36609048087563e-26,2.26694172135256e-23
